epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,3169.28,1.02992,0.7267,1.1228,0.83178,0.79861,0.86141,0.62759,1.10766,0.76739,1.12722,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,3232.37,1.03194,0.72521,1.12193,0.84158,0.79956,0.86592,0.63497,1.09694,0.74413,1.12569,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3295.14,1.02818,0.72457,1.12386,0.83808,0.79438,0.86164,0.63328,1.0978,0.75341,1.12637,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,3358.72,1.011,0.7064,1.11096,0.82364,0.81582,0.86309,0.63213,1.09828,0.75761,1.12496,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,3422.08,1.01305,0.70428,1.11034,0.8439,0.80446,0.86617,0.63571,1.09151,0.75104,1.12148,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,3485.18,1.01768,0.70879,1.11336,0.83068,0.80915,0.86309,0.63658,1.08557,0.75242,1.11592,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,3548.29,1.00455,0.69708,1.10905,0.83675,0.79443,0.86223,0.63511,1.09632,0.74973,1.12075,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,3611.03,0.99413,0.6915,1.10469,0.84149,0.7997,0.86455,0.63986,1.07769,0.74155,1.1154,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,3674.1,1.00318,0.68783,1.10526,0.83985,0.78822,0.85846,0.63131,1.08205,0.75541,1.11471,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,3734.31,0.98965,0.68558,1.09746,0.84258,0.79792,0.86246,0.63472,1.0785,0.75308,1.11743,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,3794.54,0.99171,0.68231,1.09815,0.84502,0.79266,0.86426,0.64151,1.06822,0.74615,1.11182,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,3854.8,0.9955,0.68551,1.09906,0.83502,0.78872,0.85304,0.63179,1.07013,0.76606,1.11383,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,3915.09,0.98876,0.68092,1.09593,0.83267,0.80255,0.85927,0.63662,1.06574,0.75211,1.11037,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,3975.2,0.97588,0.66587,1.09051,0.83043,0.79662,0.85558,0.64029,1.05343,0.75706,1.10473,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,4035.35,0.98032,0.67506,1.09609,0.84002,0.78435,0.85594,0.63883,1.06863,0.76034,1.11441,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,4095.55,0.97635,0.67021,1.09055,0.84101,0.79374,0.86118,0.64168,1.06039,0.75164,1.10702,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,4155.73,0.97858,0.66443,1.08922,0.8469,0.78904,0.85794,0.64317,1.05875,0.74996,1.1083,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,4216.15,0.96351,0.65722,1.08112,0.84803,0.77448,0.85362,0.63836,1.05798,0.76018,1.10984,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,4276.25,0.96733,0.65476,1.08613,0.84238,0.785,0.85522,0.63626,1.06314,0.75527,1.11325,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,4336.34,0.95825,0.6498,1.08024,0.83731,0.79332,0.85683,0.63918,1.05513,0.75128,1.10837,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,4396.5,0.96156,0.64975,1.07984,0.83532,0.79186,0.85287,0.64043,1.05728,0.74788,1.10792,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,4456.52,0.95461,0.64918,1.07788,0.84653,0.78617,0.85542,0.64199,1.05134,0.74422,1.10464,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,4516.73,0.94563,0.63691,1.07319,0.83765,0.7893,0.85692,0.64009,1.05449,0.7471,1.10865,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,4576.78,0.9494,0.63778,1.07495,0.83377,0.79305,0.85819,0.64246,1.05068,0.74624,1.10416,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,4636.81,0.9367,0.62792,1.06678,0.83639,0.80431,0.85904,0.64444,1.05058,0.74032,1.10505,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,4697.06,0.94323,0.63002,1.07096,0.84696,0.78419,0.8553,0.64348,1.04497,0.74304,1.10341,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,4757.18,0.93648,0.62928,1.07139,0.84082,0.79164,0.85423,0.64184,1.04819,0.74787,1.10578,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,4817.37,0.93204,0.62145,1.06621,0.8431,0.78903,0.85571,0.64367,1.04867,0.74362,1.10659,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,4877.44,0.93605,0.62011,1.06612,0.84996,0.78666,0.86048,0.64876,1.04432,0.73334,1.10476,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,4937.57,0.93013,0.62033,1.0649,0.83879,0.7929,0.85965,0.64891,1.04414,0.73655,1.1056,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,4997.64,0.9265,0.61443,1.06497,0.83551,0.79923,0.85934,0.64882,1.04266,0.73974,1.10624,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,5057.7,0.92185,0.61246,1.0609,0.839,0.78954,0.85553,0.64628,1.04183,0.7436,1.10495,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,5117.96,0.92425,0.61635,1.05978,0.83515,0.79776,0.85577,0.64597,1.04067,0.74229,1.10431,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,5177.93,0.92372,0.6124,1.06084,0.84123,0.78596,0.85315,0.64301,1.0403,0.74842,1.10488,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,5238.15,0.91603,0.60886,1.05931,0.84297,0.78788,0.85586,0.64564,1.03948,0.74138,1.10419,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,5298.29,0.92253,0.61239,1.06197,0.8489,0.78356,0.85687,0.64758,1.03761,0.74005,1.10449,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,5358.39,0.91508,0.60484,1.05705,0.8481,0.78182,0.85573,0.64821,1.03598,0.73889,1.10431,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,5418.56,0.91835,0.60847,1.05779,0.85033,0.78004,0.85507,0.64758,1.03647,0.7438,1.10485,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
